,1 bit gate,2 bit gate,,,pieces,,,,,,,,,
,"X, H, Z, Y","SWAP, CNOT",,,W,B,+,-,BW,WB,,,,
,,,,,,,,,,,,,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
1,1,X,All white,,,,,,,,,,,learn X_1
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,W,W,W,W,,
,,,,2,W,W,W,W,W,W,W,W,,
,,,,3,W,W,W,W,W,W,W,W,,
,,,,4,W,W,W,B,B,W,W,W,,
,,,,5,W,W,W,B,B,W,W,W,,
,,,,6,W,W,W,W,W,W,W,W,,
,,,,7,W,W,W,W,W,W,W,W,,
,,,,8,W,W,W,W,W,W,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
2,1,X,All black,,,,,,,,,,,learn X_2
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,B,B,B,W,B,B,B,B,,
,,,,2,B,B,B,W,B,B,B,B,,
,,,,3,B,B,B,W,B,B,B,B,,
,,,,4,B,B,B,W,B,B,B,B,,
,,,,5,B,B,B,W,B,B,B,B,,
,,,,6,B,B,B,W,B,B,B,B,,
,,,,7,B,B,B,W,B,B,B,B,,
,,,,8,B,B,B,W,B,B,B,B,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
3,2,X,All white,,,,,,,,,,,learn X_3
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,W,W,W,W,,
,,,,2,W,W,W,W,W,W,W,W,,
,,,,3,W,W,W,W,W,W,W,W,,
,,,,4,W,W,W,B,B,W,W,W,,
,,,,5,B,B,B,W,W,B,B,B,,
,,,,6,W,W,W,W,W,W,W,W,,
,,,,7,W,W,W,W,W,W,W,W,,
,,,,8,W,W,W,W,W,W,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
4,1,H,All white,,,,,,,,,,,learn H_1
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,W,W,W,W,,
,,,,2,W,W,W,W,W,W,W,W,,
,,,,3,W,W,W,W,W,W,W,W,,
,,,,4,W,W,W,+,+,W,W,W,,
,,,,5,W,W,W,+,+,W,W,W,,
,,,,6,W,W,W,W,W,W,W,W,,
,,,,7,W,W,W,W,W,W,W,W,,
,,,,8,W,W,W,W,W,W,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
5,2,H,All white,,,,,,,,,,,learn H_2
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,+,W,W,W,W,,
,,,,2,W,W,W,+,W,W,W,W,,
,,,,3,W,W,W,+,W,W,W,W,,
,,,,4,W,W,W,W,+,W,W,W,,
,,,,5,W,W,W,W,+,W,W,W,,
,,,,6,W,W,W,+,W,W,W,W,,
,,,,7,W,W,W,+,W,W,W,W,,
,,,,8,W,W,W,+,W,W,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
6,2,H,All black,,,,,,,,,,,learn H_3
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,B,B,B,B,B,B,B,B,,
,,,,2,B,B,B,B,B,B,B,B,,
,,,,3,B,B,-,-,B,B,B,B,,
,,,,4,B,B,-,B,-,B,B,B,,
,,,,5,B,B,B,-,-,B,B,B,,
,,,,6,B,B,B,B,B,B,B,B,,
,,,,7,B,B,B,B,B,B,B,B,,
,,,,8,B,B,B,B,B,B,B,B,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
7,3,X/H,All white,,,,,,,,,,,learn H_4
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,B,W,W,W,W,,
,,,,2,W,W,W,B,W,W,W,W,,
,,,,3,W,W,W,B,W,W,W,W,,
,,,,4,+,+,+,-,+,+,+,+,,
,,,,5,W,W,W,B,W,W,W,W,,
,,,,6,W,W,W,B,W,W,W,W,,
,,,,7,W,W,W,B,W,W,W,W,,
,,,,8,W,W,W,B,W,W,W,W,,
level,turn,available gate,victory condition,,,,,,,,,,,comment
8,3,H/Z,All white,,,,,,,,,,,learn Z_1
,,,,,1,2,3,4,5,6,7,8,,
,,,,1,W,W,W,W,W,W,W,W,,
,,,,2,W,W,W,W,W,W,W,W,,
,,,,3,W,W,W,W,W,W,W,W,,
,,,,4,+,+,+,-,-,+,+,+,,
,,,,5,+,+,+,-,-,+,+,+,,
,,,,6,W,W,W,W,W,W,W,W,,
,,,,7,W,W,W,W,W,W,W,W,,
,,,,8,W,W,W,W,W,W,W,W,,
